time,fx,fy,fz,tx,ty,tz
503420,-1.69654,-0.282845,9.41439,0.377428,-1.15704,-0.157376
504843,-2.14544,-0.795902,9.37299,0.41108,-1.20355,-0.155651
506287,-1.12733,-1.18207,9.55909,0.430752,-1.15282,-0.160565
507695,0.147973,-1.20823,9.66089,0.433244,-1.06186,-0.159153
509157,0.516922,-1.24258,9.55911,0.434287,-1.06001,-0.159851
510595,0.704196,-0.97379,9.18214,0.423076,-1.01459,-0.161652
512000,-0.989121,-0.528845,9.04054,0.392567,-1.13854,-0.157477
513450,-1.41312,-0.356016,9.11607,0.384899,-1.14138,-0.157826
514890,-1.90881,-0.673978,9.25839,0.402952,-1.19709,-0.158058
516335,-0.720247,-1.23565,9.31883,0.435867,-1.1271,-0.161381
517756,0.440995,-1.31183,9.55478,0.440596,-1.054,-0.158807
519152,0.928812,-1.15683,9.4462,0.427672,-1.03581,-0.159894
520583,0.922014,-1.21445,9.11619,0.435273,-1.01469,-0.161784
522050,-0.411652,-0.740014,9.10896,0.405501,-1.10492,-0.15606
523463,-1.01269,-0.628903,9.23159,0.398017,-1.12954,-0.157564
524910,-1.24715,-0.977028,9.38701,0.42369,-1.15973,-0.157933
526351,-0.131948,-1.22794,9.30816,0.432273,-1.10276,-0.159359
527775,1.16508,-1.24094,9.36609,0.441938,-1.01748,-0.158052
529189,1.45397,-1.10821,9.13503,0.424382,-1.00814,-0.160227
530606,1.01104,-0.964652,8.92934,0.421621,-1.00799,-0.161102
532071,-0.581105,-0.663483,8.95113,0.403341,-1.11555,-0.155506
533505,-1.15858,-0.537867,9.08012,0.394241,-1.14248,-0.157573
534947,-1.12966,-0.851138,9.30186,0.410946,-1.15484,-0.155995
536386,-0.009492,-1.35539,9.15323,0.447707,-1.09126,-0.157815
537798,0.947299,-1.04607,9.20937,0.423875,-1.02614,-0.159037
539240,0.801778,-0.815698,9.10931,0.411661,-1.03666,-0.158449
540675,0.175034,-0.744735,8.82456,0.413788,-1.05723,-0.159145
