time,ax,ay,az
3540332,-0.784912,0.566162,-0.0146484
3544296,-0.773682,0.667236,0.064209
3548223,-0.773682,0.650146,0.235596
3552186,-0.716309,0.650146,0.235596
3556097,-0.734375,0.694336,0.115967
3560025,-0.734375,0.696289,0.0195312
3563959,-0.769287,0.508789,0.0195312
3567889,-0.700928,0.657471,0.0637207
3571829,-0.700928,0.657715,0.0771484
3575766,-0.775635,0.657715,0.0771484
3579709,-0.743164,0.817627,0.0678711
3583641,-0.743164,0.817627,0.0476074
3587559,-0.731934,0.515625,0.0476074
3591491,-0.696533,0.600342,0.0527344
3595429,-0.696533,0.600342,0.00024414
3599334,-0.754395,0.653809,0.00024414
3603287,-0.73877,0.789551,0.0803223
3607227,-0.73877,0.789551,0.10498
3611173,-0.663574,0.519043,0.16748
3615096,-0.731201,0.558105,0.0839844
3619016,-0.731201,0.558105,0.107422
3622969,-0.738037,0.697754,0.0449219
3626924,-0.69043,0.808594,0.10791
3630858,-0.75293,0.808594,0.0793457
3634786,-0.650879,0.522461,0.204346
3638805,-0.64502,0.572998,0.0822754
3642737,-0.70752,0.572998,0.0737305
3646655,-0.705811,0.752441,0.0112305
3650606,-0.689453,0.801025,0.0571289
3654520,-0.751953,0.801025,0.0571289
3658447,-0.644531,0.633301,0.136719
3662378,-0.644531,0.638184,0.0222168
3666299,-0.724121,0.638184,0.0222168
3670244,-0.689941,0.750488,0.0119629
3674186,-0.689941,0.799805,0.0454102
3678119,-0.708008,0.799805,0.0454102
3682042,-0.634766,0.708008,0.0891113
3686006,-0.634766,0.695312,0.0810547
3689915,-0.67627,0.632812,0.0810547
3693837,-0.651611,0.805908,0.0898438
3697774,-0.651611,0.775635,0.10498
3701709,-0.695312,0.775635,0.10498
3705659,-0.652832,0.798096,0.0895996
3709593,-0.652832,0.75,0.128662
3713485,-0.634766,0.5625,0.128662
3717457,-0.635986,0.739746,0.12085
3721379,-0.635986,0.739746,0.0888672
3725321,-0.692871,0.766602,0.0888672
3729268,-0.679443,0.91626,0.0219727
3733267,-0.679443,0.91626,0.0822754
3737156,-0.658447,0.534668,0.0822754
3741100,-0.604492,0.748779,0.092041
3745046,-0.604492,0.748779,0.0249023
3749047,-0.675293,0.717773,0.0249023
3752968,-0.667969,0.936035,0.0124512
3756926,-0.667969,0.936035,0.0390625
3760834,-0.592773,0.592041,0.101562
3764763,-0.592041,0.693359,0.0930176
3768694,-0.592041,0.693359,0.118896
3772625,-0.634033,0.762695,0.0563965
3776603,-0.654297,0.886963,0.0895996
3780549,-0.654297,0.886963,0.0922852
3784488,-0.566406,0.621338,0.154785
3788442,-0.578369,0.709229,0.0925293
3792361,-0.640869,0.709229,0.0925293
3796348,-0.608643,0.849121,0.083252
3800256,-0.608643,0.881836,0.0961914
3804202,-0.658936,0.881836,0.0961914
3808130,-0.557861,0.680908,0.113525
3812089,-0.557861,0.685303,0.0363769
3815995,-0.634766,0.685303,0.0363769
3819938,-0.577148,0.894531,0.0417481
3823873,-0.577148,0.864258,0.0761719
3827836,-0.637939,0.864258,0.0761719
3831758,-0.521973,0.754395,0.0693359
3835696,-0.521973,0.790039,0.0129394
3839623,-0.655273,0.665039,0.0129394
3843561,-0.551514,0.936768,0.0991211
3847491,-0.551514,0.906982,0.0852051
3851424,-0.630127,0.844482,0.0852051
3855372,-0.558105,0.83667,0.101562
3859358,-0.558105,0.817871,0.104248
3863305,-0.556885,0.630371,0.104248
3867237,-0.564697,0.87085,0.115234
3871180,-0.564697,0.87085,0.105957
3875117,-0.587158,0.837891,0.105957
3879057,-0.57666,0.953857,0.0581055
3882989,-0.57666,0.953857,0.116943
3886933,-0.552734,0.566406,0.116943
3890881,-0.551025,0.873535,0.0725098
3894817,-0.551025,0.873535,0.0334473
3898724,-0.579346,0.825195,0.0334473
3902657,-0.574707,0.972412,0.0256348
3906583,-0.574707,0.972412,0.0449219
3910541,-0.482178,0.63916,0.107422
3914450,-0.467285,0.802002,0.0561523
3918380,-0.529785,0.802002,0.0185547
3922340,-0.568848,0.895996,0.0185547
3926273,-0.58252,0.96875,0.0952148
3930196,-0.58252,0.96875,0.0952148
3934120,-0.462402,0.657471,0.152832
3938055,-0.496826,0.737061,0.0761719
3942003,-0.559326,0.737061,0.0761719
3945938,-0.522949,0.938965,0.0649414
3949885,-0.522949,0.898926,0.121338
3953851,-0.557617,0.898926,0.121338
3957791,-0.47998,0.781738,0.140137
3961717,-0.47998,0.665039,0.0761719
3965660,-0.54541,0.665039,0.0761719
3969655,-0.51123,0.971436,0.0600586
3973581,-0.51123,0.908447,0.0532227
3977537,-0.554932,0.908447,0.0532227
3981436,-0.464844,0.931152,0.0422363
3985400,-0.464844,0.892578,0.0637207
3989307,-0.461182,0.642578,0.0637207
3993275,-0.458496,0.922119,0.0893555
