seq,Fx,Fy,Fz,Mx,My,Mz
242,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
243,-0.303395,-0.256844,-4.99565,-0.0124594,0.0337713,-0.00324341
244,-0.289482,-0.236668,-4.97698,-0.0100571,0.0336215,-0.00556288
245,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
246,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
247,-0.296926,-0.249388,-4.99397,-0.013097,0.0348826,-0.00480969
248,-0.27814,-0.228725,-4.97797,-0.0100683,0.0315245,-0.00630172
249,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
250,-0.303211,-0.254245,-4.99238,-0.0119542,0.0334441,-0.0051294
251,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
252,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
253,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
254,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
255,-0.298342,-0.251745,-4.99582,-0.0113716,0.0330278,-0.00432802
256,-0.28555,-0.240658,-4.98091,-0.0101769,0.0326811,-0.00513777
257,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
258,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
259,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
260,-0.296926,-0.249388,-4.99397,-0.013097,0.0348826,-0.00480969
261,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
262,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
263,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
264,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
265,-0.272766,-0.230373,-4.98003,-0.0119141,0.0324446,-0.00636208
266,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
267,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
268,-0.299268,-0.258225,-4.99627,-0.0120718,0.0325066,-0.00470657
269,-0.299268,-0.258225,-4.99627,-0.0120718,0.0325066,-0.00470657
270,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
271,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
272,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
273,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
274,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
275,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
276,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
277,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
278,-0.296926,-0.249388,-4.99397,-0.013097,0.0348826,-0.00480969
279,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
280,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
281,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
282,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
283,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
